time,x,y,z
0.00000000,-0.45489833,-0.28490999,9.90481281
0.00249050,-0.45250413,-0.23702596,9.91917801
0.00498100,-0.45729253,-0.28251579,9.85214043
0.00747150,-0.43335050,-0.27533320,9.78989029
0.00996200,-0.41180268,-0.31124622,9.79707336
0.01245250,-0.43574470,-0.32321724,9.74918938
0.01494301,-0.41659111,-0.30645782,9.77552509
0.01743351,-0.43574470,-0.31124622,9.86889935
0.01992401,-0.45729253,-0.28969839,9.85692883
0.02241451,-0.34233002,-0.13167787,10.04247923
0.02490501,-0.41717919,-0.27842681,10.14861029
0.02739551,-0.28898922,-0.06742221,9.97783572
0.02988601,-0.32333209,-0.28296846,9.94935482
0.03237651,-0.56990047,-0.33816415,9.89407454
0.03486701,-0.45179680,-0.38748393,9.86834561
0.03735751,-0.33785383,-0.12523552,9.95310765
0.03984801,-0.20836827,-0.25657115,9.98530431
0.04233852,-0.31842601,-0.19635200,10.12402483
0.04482902,-0.21421780,-0.07276047,10.01982356
0.04731952,-0.32631634,-0.14360675,10.01557122
0.04981002,-0.58552375,-0.16687658,9.84015052
0.05230052,-0.47169853,-0.28448393,9.93062969
0.05479102,-0.36352594,-0.02967905,10.06820836
0.05728152,-0.31909347,-0.12600145,9.96540001
0.05977202,-0.14584380,-0.22870538,10.01306910
0.06226252,-0.33867884,-0.21325703,10.28861745
0.06475302,-0.28522009,-0.16192866,10.05016173
0.06724353,-0.34637276,0.04421700,10.11959425
0.06973403,-0.58305008,-0.18920684,9.95039148
0.07222453,-0.42624770,-0.21721613,9.96036086
0.07471503,-0.34331072,-0.06007753,9.87838620
0.07720553,-0.19989085,-0.24909259,9.96625708
0.07969603,-0.42691278,-0.17377031,10.04773155
0.08218653,-0.31505038,-0.25046708,10.04390825
0.08467703,-0.35802900,0.01296549,10.13660349
0.08716753,-0.41054723,-0.12064672,10.01685729
0.08965803,-0.61535301,-0.49075847,10.34050327
0.09214853,-0.81969011,-0.89902233,10.53050250
0.09463904,-1.27035806,-1.07368165,10.24605739
0.09712954,-2.35899922,-0.95281318,10.13556687
0.09962004,-1.62278448,-0.49448567,9.34987570
0.10211054,-1.63675765,0.28387252,9.02880248
0.10460104,-1.78206113,-1.04978466,9.72680263
0.10709154,-2.58468560,0.16054108,8.18969015
0.10958204,-4.73409860,0.85617452,7.54404199
0.11207254,-5.43047361,0.80697350,7.25488023
0.11456304,-4.59354479,-0.52529990,7.39778036
0.11705354,-2.24945176,-0.93479555,9.02094129
0.11954404,-0.23305685,-3.56477268,9.25471575
0.12203455,0.03498066,-2.70406515,9.27286814
0.12452505,1.22716316,-2.76980266,9.42931448
0.12701555,0.94185244,-1.19446913,9.29995356
0.12950605,1.49873340,-2.44968924,12.84483759
0.13199655,0.09884175,-0.71850578,10.74598016
0.13448705,-2.69054375,-1.17723597,11.06880466
0.13697755,-3.17096251,-0.25761058,8.75000585
0.13946805,-4.16921069,1.67300122,4.63844818
0.14195855,-1.58282802,1.85246644,4.69183467
0.14444905,0.71161423,2.89879417,5.41863637
0.14693956,1.53205656,1.12500441,5.86209761
0.14943006,2.41655732,0.55363413,9.92519811
0.15192056,2.79787175,-0.51733141,11.83169604
0.15441106,3.56713416,-2.98443069,12.17646021
0.15690156,5.13815930,-4.42573041,13.77943101
0.15939206,6.06418639,-4.57854686,13.48648136
0.16188256,6.57204270,-4.81670734,12.85241209
0.16437306,6.20179711,-0.54999630,12.11335501
0.16686356,3.96587577,1.92787323,10.47343616
0.16935406,2.68365491,3.96483246,8.13966223
0.17184456,0.69669841,4.12651525,7.24122979
0.17433507,-0.68718046,2.97254669,6.79108358
0.17682557,-0.99191727,1.23813336,7.63502126
0.17931607,-1.24778925,-0.07340627,8.98216916
0.18180657,-1.08655004,-1.03397631,10.13467367
0.18429707,-1.12423050,-1.06188447,10.74540853
