time,rms,crest_factor,total_fft_energy
0.02624990,0.00844344,1.91782672,0.01428115
0.02874990,0.00848677,1.90803700,0.01443158
0.03124990,0.00854898,1.89415117,0.01465454
0.03374990,0.00823003,1.96755751,0.01359006
0.03624990,0.00746494,1.95292644,0.01118789
0.03874990,0.00672737,1.58464206,0.00933919
0.04124990,0.00643919,1.65556052,0.00903546
0.04374990,0.00643030,1.65784862,0.00957529
0.04624990,0.00657283,1.62189977,0.01040757
0.04874990,0.00662555,1.60899420,0.01067666
0.05124990,0.00646817,1.64814408,0.00989030
0.05374990,0.00629295,1.69403469,0.00878651
0.05624990,0.00624532,1.70695219,0.00815634
0.05874990,0.00635162,1.67838559,0.00814556
0.06124990,0.00634179,1.68098828,0.00805833
0.06374990,0.00629650,1.69307722,0.00793303
0.06624990,0.00599896,1.77705284,0.00723690
0.06874990,0.00569839,1.87078712,0.00655554
0.07124990,0.00535379,1.99120094,0.00607702
0.07374990,0.00527796,2.01980943,0.00620221
0.07624990,0.00561721,1.89782409,0.00722762
0.07874990,0.00616631,1.95855038,0.00886841
0.08124990,0.00615419,1.96240779,0.00883162
0.08374990,0.00643108,1.87791644,0.00973041
0.08624990,0.00671500,1.79851626,0.01075503
0.08874990,0.00710522,1.69973979,0.01242334
0.09124990,0.00725792,1.66397858,0.01395026
0.09374990,0.00714167,1.69106433,0.01433597
0.09624990,0.00727429,1.66023399,0.01450493
0.09874990,0.00826802,2.18766735,0.01649818
0.10124990,0.00996835,2.49851849,0.02122099
0.10374990,0.01133728,2.19683362,0.02598921
0.10624990,0.01205448,2.06612849,0.02918799
0.10874990,0.01225779,2.03186014,0.03047711
0.11124990,0.01229868,2.02510407,0.03093476
0.11374990,0.01231492,2.02243357,0.03108014
0.11624990,0.01231492,2.02243363,0.03108013
0.11874990,0.01232676,2.02049156,0.03117438
0.12124990,0.01234758,2.01708482,0.03158667
0.12374990,0.01246266,1.99845901,0.03300770
0.12624990,0.01251695,1.98978979,0.03464631
0.12874990,0.01237066,2.01332144,0.03580738
0.13124990,0.01214535,2.05066978,0.03571810
0.13374990,0.01206755,2.06389101,0.03554761
0.13624990,0.01241636,2.00591109,0.03657579
0.13874990,0.01305037,1.90846006,0.03871840
0.14124990,0.01387554,1.79496535,0.04198895
0.14374990,0.01458527,1.70762101,0.04464179
0.14624990,0.01512133,1.64708498,0.04664749
0.14874990,0.01508098,1.65149144,0.04555574
0.15124990,0.01419931,1.74039420,0.04120985
0.15374990,0.01308073,1.74766443,0.03604308
0.15624990,0.01233814,1.85284995,0.03344526
0.15874990,0.01226579,1.86377825,0.03318498
0.16124990,0.01256261,1.81974212,0.03401181
0.16374990,0.01261452,1.81225489,0.03409467
0.16624990,0.01263503,1.80931319,0.03402424
