time,rms,crest_factor,total_fft_energy
0.02624990,0.00827031,2.32429082,0.01677244
0.02874990,0.00850268,2.26077041,0.01694791
0.03124990,0.00869914,2.20971245,0.01680598
0.03374990,0.00870675,2.20778201,0.01627684
0.03624990,0.00812968,2.36449571,0.01352881
0.03874990,0.00699931,2.51659013,0.00987119
0.04124990,0.00588316,1.92804598,0.00730304
0.04374990,0.00532567,1.65807289,0.00642503
0.04624990,0.00505382,1.74726268,0.00615465
0.04874990,0.00502686,1.75663257,0.00611930
0.05124990,0.00508840,1.73539000,0.00618946
0.05374990,0.00521969,1.69174005,0.00635946
0.05624990,0.00543038,1.62610309,0.00662433
0.05874990,0.00540824,1.63276007,0.00646580
0.06124990,0.00540917,1.63247830,0.00647364
0.06374990,0.00540149,1.63479837,0.00651286
0.06624990,0.00542005,1.62920018,0.00659842
0.06874990,0.00541190,1.63165508,0.00651622
0.07124990,0.00550922,1.60283271,0.00641511
0.07374990,0.00540972,1.63231372,0.00599208
0.07624990,0.00545904,1.61756401,0.00598639
0.07874990,0.00513031,1.70911875,0.00532388
0.08124990,0.00474412,1.72968833,0.00470146
0.08374990,0.00461894,1.77656546,0.00450734
0.08624990,0.00444691,1.66615650,0.00425341
0.08874990,0.00436507,1.69739516,0.00414333
0.09124990,0.00424493,1.74543300,0.00404352
0.09374990,0.00422755,1.75260919,0.00408471
0.09624990,0.00439767,1.68481058,0.00456894
0.09874990,0.00438942,1.68797594,0.00455086
0.10124990,0.00453489,1.75885213,0.00489637
0.10374990,0.00447696,1.78160863,0.00476910
0.10624990,0.00416315,1.91590392,0.00395047
0.10874990,0.00441488,1.80666286,0.00424158
0.11124990,0.00542088,2.59879624,0.00592713
0.11374990,0.00660521,2.55587222,0.00886376
0.11624990,0.00763236,2.26184542,0.01188162
0.11874990,0.00815210,2.11764052,0.01399409
0.12124990,0.00814437,2.11965232,0.01435851
0.12374990,0.00809132,2.13354788,0.01435617
0.12624990,0.00802312,2.15168372,0.01421794
0.12874990,0.00815078,2.11798350,0.01441890
0.13124990,0.00837827,2.06047633,0.01485105
0.13374990,0.00842538,2.04895447,0.01466247
0.13624990,0.00838749,2.05821243,0.01430075
0.13874990,0.00840746,2.05332200,0.01420377
0.14124990,0.00852880,2.02410945,0.01459271
0.14374990,0.00873740,1.97578554,0.01527754
0.14624990,0.00897443,1.92360204,0.01617142
0.14874990,0.00906154,1.90511064,0.01649806
0.15124990,0.00890924,1.93767631,0.01589759
0.15374990,0.00881643,1.95807562,0.01555588
0.15624990,0.00886874,1.94652552,0.01573864
0.15874990,0.00898602,1.92112086,0.01617196
0.16124990,0.00882787,1.95553729,0.01560289
0.16374990,0.00813331,2.12253434,0.01326361
0.16624990,0.00717846,1.78615769,0.01055502
0.16874990,0.00668007,1.78462061,0.00970321
0.17124990,0.00665180,1.79220650,0.01006744
0.17374990,0.00668172,1.78418192,0.01024618
0.17624990,0.00663381,1.79706545,0.00972454
0.17874990,0.00650519,1.83259670,0.00894072
0.18124990,0.00621649,1.91770467,0.00798006
0.18374990,0.00613750,1.94238702,0.00772388
0.18624990,0.00616552,1.93355893,0.00780116
0.18874990,0.00649970,1.83414476,0.00882477
0.19124990,0.00644574,1.84949997,0.00867104
0.19374990,0.00639002,1.86562796,0.00849654
0.19624990,0.00595816,2.00085180,0.00740736
0.19874990,0.00577665,2.06372205,0.00670457
0.20124990,0.00634053,1.90265953,0.00837507
0.20374990,0.00714377,2.06135908,0.01062355
0.20624990,0.00807584,2.15503110,0.01408946
0.20874990,0.00851848,2.04305058,0.01571790
0.21124990,0.00843059,2.06435021,0.01534062
0.21374990,0.00839342,2.07349170,0.01518535
0.21624990,0.00840789,2.06992453,0.01493664
0.21874990,0.00850589,2.04607491,0.01519556
0.22124990,0.00904075,1.92502722,0.01671179
0.22374990,0.00927570,1.87626683,0.01744573
0.22624990,0.00929456,1.87245911,0.01734232
0.22874990,0.00926674,1.87808214,0.01722208
0.23124990,0.00932565,1.86621806,0.01748880
0.23374990,0.00931415,1.86852270,0.01752804
0.23624990,0.00925106,1.88126551,0.01750159
0.23874990,0.00902678,1.92800692,0.01682212
0.24124990,0.00919793,1.89213218,0.01732283
0.24374990,0.00960371,1.81218502,0.01868211
0.24624990,0.01013200,1.71769623,0.02060698
0.24874990,0.01061238,1.63994187,0.02263879
0.25124990,0.01041187,1.67152472,0.02216455
0.25374990,0.00990415,1.75721153,0.02080823
0.25624990,0.00911261,1.67428076,0.01867214
0.25874990,0.00863388,1.71658876,0.01744653
0.26124990,0.00859233,1.72488932,0.01735313
0.26374990,0.00887580,1.66980165,0.01797284
0.26624990,0.00906052,1.63575938,0.01791649
0.26874990,0.00937506,1.58087841,0.01824192
0.27124990,0.00887894,1.66921090,0.01586929
0.27374990,0.00868363,1.70675341,0.01512402
0.27624990,0.00861615,1.72012178,0.01487885
0.27874990,0.00861971,1.71941100,0.01486163
0.28124990,0.00857272,1.72883481,0.01474147
0.28374990,0.00863683,1.71600208,0.01501467
0.28624990,0.00870373,1.70281242,0.01541853
0.28874990,0.00864111,1.71515291,0.01515987
0.29124990,0.00837574,1.76949320,0.01408022
0.29374990,0.00776171,1.90947894,0.01230450
0.29624990,0.00703633,2.10632835,0.01020964
0.29874990,0.00634093,2.08856566,0.00938227
0.30124990,0.00609813,2.17172516,0.00902021
0.30374990,0.00618600,2.14087594,0.00994645
0.30624990,0.00630578,2.10021039,0.01042007
0.30874990,0.00609348,2.17338053,0.00949692
0.31124990,0.00571812,2.31605143,0.00834894
0.31374990,0.00513401,2.57955250,0.00647273
0.31624990,0.00474706,2.78982364,0.00551770
0.31874990,0.00384029,1.50954904,0.00317984
0.32124990,0.00394821,1.78236192,0.00332145
0.32374990,0.00393795,1.78700584,0.00313971
0.32624990,0.00453084,2.21173652,0.00435198
0.32874990,0.00454882,2.20299489,0.00438141
0.33124990,0.00457589,2.18996142,0.00445493
0.33374990,0.00443382,2.26013463,0.00423158
0.33624990,0.00426170,2.35141178,0.00377742
0.33874990,0.00428658,2.33776569,0.00386778
0.34124990,0.00429603,2.33262510,0.00383459
0.34374990,0.00429734,2.33191427,0.00375434
0.34624990,0.00455170,2.20160015,0.00438190
0.34874990,0.00516459,2.39273535,0.00582563
0.35124990,0.00569971,2.16809499,0.00748440
0.35374990,0.00576178,2.14473868,0.00818270
0.35624990,0.00573651,2.15418759,0.00881944
0.35874990,0.00576591,2.14320216,0.00883522
0.36124990,0.00603595,2.04731832,0.00908813
0.36374990,0.00626737,1.97172186,0.00940189
0.36624990,0.00652043,1.89519799,0.00961919
0.36874990,0.00667820,1.85042410,0.00963454
0.37124990,0.00660016,1.87230331,0.00896829
0.37374990,0.00653583,1.89073400,0.00870064
0.37624990,0.00625502,1.97561323,0.00784037
0.37874990,0.00634233,1.94841665,0.00809530
0.38124990,0.00643525,1.92028482,0.00848577
0.38374990,0.00657521,1.87940986,0.00901168
0.38624990,0.00664300,1.86022930,0.00930474
0.38874990,0.00664092,1.86081291,0.00929558
0.39124990,0.00665470,1.85695993,0.00936178
0.39374990,0.00661577,1.86788635,0.00931743
0.39624990,0.00644661,1.91690125,0.00922597
0.39874990,0.00582450,1.85780640,0.00823899
0.40124990,0.00529935,1.61313539,0.00777914
0.40374990,0.00508000,1.68278812,0.00769141
0.40624990,0.00498388,1.71524266,0.00769086
0.40874990,0.00498560,1.71465122,0.00719736
0.41124990,0.00466491,1.74268105,0.00578109
0.41374990,0.00442537,1.82162675,0.00484558
0.41624990,0.00428508,1.82715999,0.00401360
0.41874990,0.00410558,1.55095202,0.00354418
0.42124990,0.00392666,1.62162070,0.00314088
0.42374990,0.00400625,1.58940756,0.00332750
0.42624990,0.00384175,1.65746197,0.00301265
0.42874990,0.00437158,2.49582386,0.00441534
0.43124990,0.00543358,2.88103014,0.00694643
0.43374990,0.00577635,2.71006745,0.00883221
0.43624990,0.00601850,2.60103086,0.01011781
0.43874990,0.00600291,2.60778775,0.01018851
0.44124990,0.00609247,2.56945305,0.01022459
0.44374990,0.00648214,2.41498979,0.01034339
0.44624990,0.00684140,2.28817462,0.01083874
0.44874990,0.00693080,2.25865816,0.01079342
0.45124990,0.00711264,2.20091570,0.01104457
0.45374990,0.00718670,2.17823265,0.01099841
0.45624990,0.00732715,2.13647984,0.01119002
0.45874990,0.00771178,2.02992150,0.01195947
0.46124990,0.00808414,1.93642323,0.01315468
0.46374990,0.00824795,1.89796460,0.01375007
0.46624990,0.00812845,1.92586658,0.01353644
0.46874990,0.00815277,1.92012175,0.01360407
0.47124990,0.00827609,1.89151101,0.01385617
0.47374990,0.00845518,1.85144628,0.01440144
0.47624990,0.00849821,1.84207178,0.01450652
0.47874990,0.00814136,1.92281260,0.01353849
0.48124990,0.00735124,1.56887566,0.01157365
0.48374990,0.00697960,1.65241163,0.01112228
0.48624990,0.00671464,1.71761638,0.01077143
0.48874990,0.00677005,1.70355896,0.01066619
0.49124990,0.00693707,1.66254193,0.01048042
0.49374990,0.00661325,1.74395101,0.00912409
0.49624990,0.00623858,1.84868678,0.00795407
0.49874990,0.00629276,1.83276992,0.00811745
0.50124990,0.00624471,1.84687120,0.00798444
0.50374990,0.00615871,1.87266029,0.00766977
0.50624990,0.00600699,1.91995829,0.00727074
0.50874990,0.00570414,1.98973426,0.00668927
0.51124990,0.00540157,1.66068744,0.00652332
0.51374990,0.00504012,1.77978081,0.00610444
0.51624990,0.00503527,1.78149429,0.00618202
0.51874990,0.00504966,1.77641860,0.00580091
0.52124990,0.00524750,1.71846475,0.00568736
0.52374990,0.00523457,1.72271081,0.00563025
0.52624990,0.00535141,1.68509850,0.00579434
0.52874990,0.00536046,1.68225195,0.00583006
0.53124990,0.00540645,1.66794271,0.00593214
0.53374990,0.00564886,1.59636709,0.00639088
0.53624990,0.00589910,1.52864695,0.00703445
0.53874990,0.00608472,1.48201465,0.00750880
0.54124990,0.00589234,1.53040070,0.00700317
0.54374990,0.00583781,1.54469705,0.00684883
0.54624990,0.00583337,1.54587317,0.00685688
0.54874990,0.00574575,1.56944612,0.00666805
0.55124990,0.00558928,1.61338236,0.00638940
0.55374990,0.00560012,1.61025893,0.00639660
0.55624990,0.00556880,1.61931623,0.00624082
0.55874990,0.00529794,1.70210459,0.00570719
0.56124990,0.00508546,1.77322288,0.00526923
0.56374990,0.00509890,1.76854824,0.00534264
0.56624990,0.00509817,1.76880107,0.00534271
0.56874990,0.00493165,1.82852474,0.00490435
0.57124990,0.00454376,1.94065753,0.00416048
0.57374990,0.00409386,1.93732738,0.00344925
0.57624990,0.00382826,2.07173586,0.00313964
0.57874990,0.00398655,1.98947511,0.00334030
0.58124990,0.00398090,1.99230155,0.00322178
0.58374990,0.00363341,2.13919099,0.00271657
0.58624990,0.00327096,2.36987213,0.00221189
0.58874990,0.00278432,1.89562737,0.00181742
0.59124990,0.00264613,1.96248952,0.00183992
0.59374990,0.00278696,1.86332588,0.00214867
0.59624990,0.00294433,1.76373413,0.00248530
0.59874990,0.00285333,1.81998090,0.00215187
0.60124990,0.00302387,1.71733830,0.00214077
0.60374990,0.00405360,3.01000296,0.00343288
0.60624990,0.00489906,2.53997386,0.00480632
0.60874990,0.00519132,2.39697897,0.00551030
0.61124990,0.00511003,2.43511039,0.00539083
0.61374990,0.00527396,2.35942174,0.00565749
0.61624990,0.00559139,2.22547121,0.00629673
0.61874990,0.00569727,2.18411448,0.00649903
0.62124990,0.00570220,2.18222734,0.00656188
0.62374990,0.00570246,2.18212605,0.00656487
0.62624990,0.00570241,2.18214512,0.00656364
0.62874990,0.00561608,2.21568857,0.00638848
0.63124990,0.00571666,2.17670605,0.00656550
0.63374990,0.00584212,2.12996218,0.00704248
0.63624990,0.00600484,2.07224161,0.00756140
0.63874990,0.00611030,2.03647689,0.00803870
0.64124990,0.00610752,2.03740566,0.00824651
0.64374990,0.00608932,2.04349473,0.00822800
0.64624990,0.00626277,1.98689734,0.00853644
0.64874990,0.00662529,1.87818130,0.00908510
0.65124990,0.00688820,1.80649332,0.00956605
0.65374990,0.00651845,1.90896430,0.00860897
0.65624990,0.00593207,1.69277493,0.00722837
0.65874990,0.00571944,1.75570568,0.00684274
0.66124990,0.00589722,1.70277789,0.00718688
0.66374990,0.00583096,1.72212550,0.00682753
0.66624990,0.00554474,1.81102453,0.00617423
0.66874990,0.00558948,1.79652775,0.00628117
0.67124990,0.00588138,1.70736411,0.00694951
0.67374990,0.00619329,1.62137595,0.00785478
0.67624990,0.00625319,1.60584462,0.00803952
0.67874990,0.00622842,1.61223018,0.00802299
0.68124990,0.00624649,1.60756754,0.00806315
0.68374990,0.00656672,1.67546628,0.00876489
0.68624990,0.00704493,1.89966344,0.01002852
0.68874990,0.00754360,1.77408440,0.01138589
0.69124990,0.00785693,1.70333464,0.01240192
0.69374990,0.00791681,1.69045264,0.01263030
0.69624990,0.00772245,1.73299806,0.01221186
0.69874990,0.00740183,1.80806534,0.01141467
0.70124990,0.00735985,1.81837711,0.01131160
0.70374990,0.00764651,1.75020780,0.01205765
0.70624990,0.00827763,1.74993962,0.01380802
0.70874990,0.00869463,1.66601123,0.01515521
0.71124990,0.00877190,1.65133655,0.01568213
0.71374990,0.00875707,1.65413377,0.01580888
0.71624990,0.00876160,1.65327789,0.01583642
0.71874990,0.00864760,1.67507288,0.01526765
0.72124990,0.00842908,1.71849878,0.01429460
0.72374990,0.00838090,1.72837812,0.01419087
0.72624990,0.00849131,1.70590408,0.01453990
0.72874990,0.00885913,1.63507666,0.01612519
0.73124990,0.00896343,1.61605135,0.01652617
0.73374990,0.00871311,1.66247890,0.01545523
0.73624990,0.00818413,1.76993370,0.01365169
0.73874990,0.00769885,1.88149593,0.01189395
0.74124990,0.00733751,1.97415208,0.01103293
0.74374990,0.00732262,1.97816721,0.01115213
0.74624990,0.00735255,1.97011235,0.01136749
0.74874990,0.00746029,1.94166238,0.01180725
0.75124990,0.00743650,1.94787224,0.01172087
0.75374990,0.00703149,2.06007077,0.01035295
0.75624990,0.00624145,1.98951539,0.00790456
0.75874990,0.00570084,1.99137945,0.00657986
0.76124990,0.00564181,2.01221477,0.00655403
0.76374990,0.00560109,2.02684391,0.00661424
0.76624990,0.00557594,2.03598561,0.00662707
0.76874990,0.00558453,2.03285415,0.00654942
0.77124990,0.00557888,2.03491121,0.00650851
0.77374990,0.00555544,2.04349676,0.00644899
0.77624990,0.00598090,2.05004458,0.00758689
0.77874990,0.00634748,2.33283411,0.00857440
0.78124990,0.00647693,2.28620757,0.00897277
0.78374990,0.00648519,2.28329503,0.00899933
0.78624990,0.00662097,2.23647000,0.00913837
0.78874990,0.00716524,2.06658926,0.01047063
0.79124990,0.00846349,2.38019388,0.01440392
0.79374990,0.00904873,2.22624993,0.01644888
0.79624990,0.00962224,2.09356014,0.01890088
0.79874990,0.00967400,2.08235921,0.01911716
0.80124990,0.00949288,2.12208959,0.01822509
0.80374990,0.00945620,2.13032058,0.01806359
0.80624990,0.00945609,2.13034578,0.01806508
0.80874990,0.00946084,2.12927506,0.01808163
0.81124990,0.00938523,2.14642865,0.01785937
0.81374990,0.00951667,2.11678488,0.01834108
