time,rms,crest_factor,total_fft_energy
0.02624990,0.00607202,2.13868200,0.00754930
0.02874990,0.00652623,1.98983726,0.00867133
0.03124990,0.00714143,1.82051189,0.01021917
0.03374990,0.00769683,1.68914432,0.01208790
0.03624990,0.00771111,1.68601592,0.01213254
0.03874990,0.00761428,1.70745602,0.01170283
0.04124990,0.00765533,1.69830135,0.01198555
0.04374990,0.00810760,1.60356401,0.01332012
0.04624990,0.00834806,1.55737421,0.01428498
0.04874990,0.00828906,1.56845848,0.01408067
0.05124990,0.00784633,1.65695988,0.01242636
0.05374990,0.00736026,1.76638619,0.01098920
0.05624990,0.00707937,1.83647040,0.01008503
0.05874990,0.00696132,1.86761439,0.00992876
0.06124990,0.00697685,1.86345635,0.00997072
0.06374990,0.00702206,1.85145945,0.01013823
0.06624990,0.00720094,1.80546509,0.01071814
0.06874990,0.00721714,1.80141442,0.01078345
0.07124990,0.00727054,1.78818214,0.01106542
0.07374990,0.00723748,1.79634991,0.01090859
0.07624990,0.00712312,1.82518973,0.01042980
0.07874990,0.00671301,1.93669434,0.00908308
0.08124990,0.00606095,2.14003634,0.00737122
0.08374990,0.00533751,2.27149962,0.00577429
0.08624990,0.00523065,2.31790441,0.00557973
0.08874990,0.00526360,2.30339313,0.00561725
0.09124990,0.00502951,2.41060112,0.00509246
0.09374990,0.00433457,2.27026344,0.00376585
0.09624990,0.00399084,1.87369444,0.00319563
0.09874990,0.00410611,2.10322350,0.00337798
0.10124990,0.00416475,2.07360911,0.00347211
0.10374990,0.00412659,2.09278215,0.00341507
0.10624990,0.00416170,2.07512674,0.00352927
0.10874990,0.00452579,1.90819108,0.00423615
0.11124990,0.00451234,1.91387613,0.00420694
0.11374990,0.00434895,1.98578193,0.00385662
0.11624990,0.00411390,2.09923825,0.00342070
0.11874990,0.00441322,1.95686193,0.00397710
0.12124990,0.00470736,1.83458569,0.00476618
0.12374990,0.00503571,1.71496373,0.00565880
0.12624990,0.00517499,1.66880816,0.00610898
0.12874990,0.00517052,1.67025031,0.00607221
0.13124990,0.00526412,1.64055090,0.00614728
0.13374990,0.00590704,2.05222784,0.00733736
0.13624990,0.00628766,1.92799545,0.00805403
0.13874990,0.00663757,1.82635968,0.00891242
0.14124990,0.00671864,1.80432277,0.00903720
0.14374990,0.00674947,1.79607969,0.00921108
0.14624990,0.00662305,1.83036312,0.00889644
0.14874990,0.00635814,1.90662611,0.00854138
0.15124990,0.00623846,1.94320329,0.00840226
0.15374990,0.00632123,1.91775877,0.00889655
0.15624990,0.00628647,1.92836208,0.00876887
0.15874990,0.00603174,2.00979971,0.00785217
0.16124990,0.00601590,2.01509248,0.00769544
0.16374990,0.00612266,1.97995458,0.00773741
0.16624990,0.00649535,1.86634793,0.00864208
0.16874990,0.00666598,1.81857629,0.00902978
0.17124990,0.00708331,1.92269506,0.01021121
0.17374990,0.00716104,1.90182263,0.01040417
0.17624990,0.00724462,1.87988248,0.01067069
0.17874990,0.00727173,1.87287379,0.01070040
0.18124990,0.00720836,1.88933893,0.01056776
0.18374990,0.00675043,2.01750790,0.00922461
0.18624990,0.00644463,2.11323925,0.00857157
0.18874990,0.00611788,2.22610312,0.00778250
0.19124990,0.00605808,2.24807928,0.00769647
