time,rms,crest_factor,total_fft_energy
0.02490418,0.31082182,3.22049266,19.77972543
0.02739459,0.37169741,2.69304917,28.85852205
0.02988501,0.43008649,2.32743743,41.24503655
0.03237543,0.47819395,2.09329167,54.09105717
0.03486585,0.53542943,2.01224303,70.98160415
0.03735626,0.56392991,1.91054619,81.78550864
0.03984668,0.63254514,2.06295508,109.77674348
0.04233710,0.71206275,2.09392629,145.29906099
0.04482752,0.74459804,2.00243198,166.19721848
0.04731793,0.82292867,1.90592291,209.29931643
0.04980835,0.83037129,1.88884010,217.62639793
0.05229877,0.83076911,1.88793563,220.10644160
0.05478919,0.83135822,1.88659781,219.72634387
0.05727960,0.99756402,2.47487366,254.74812398
0.05977002,1.64259057,3.55295135,558.40229862
0.06226044,2.33743759,3.18197065,1103.04894857
0.06475086,2.67417151,2.78129424,1473.15617340
0.06724127,2.90378769,2.56136419,1791.17500005
0.06973169,2.94085670,2.52907862,1867.90856919
0.07222211,2.94128128,2.52871354,1867.70279995
0.07471253,2.96943310,2.50473998,1884.59523247
0.07720294,3.09612455,2.40224761,1995.51932069
0.07969336,3.30319452,2.25165602,2218.69529594
0.08218378,3.46295232,2.14777945,2408.75666256
0.08467420,3.57523012,2.08032982,2559.03797135
0.08716461,3.58072932,2.07713489,2565.80558406
0.08965503,3.57392355,2.08109035,2559.67246906
0.09214545,3.57807475,2.07867591,2583.21253251
0.09463587,3.57565276,2.08008392,2589.67531809
0.09712629,3.56317697,2.08736694,2578.91230198
0.09961670,3.57488734,2.08052929,2589.86638180
0.10210712,3.57523650,2.08032610,2589.05092633
0.10459754,3.58300152,2.07581765,2605.63381843
0.10708796,3.54024202,2.10088965,2526.54160913
0.10957837,3.30050112,2.25349350,2196.21384348
0.11206879,2.86097263,2.03135464,1683.36813116
0.11455921,2.57746413,2.03409086,1481.48771505
0.11704963,2.32079750,2.25904941,1300.58660639
0.11954004,2.33310099,2.24713643,1306.54516928
0.12203046,2.37213529,2.21015903,1295.98005786
0.12452088,2.32651805,2.25349475,1209.91727859
0.12701130,2.15072067,2.43769277,1012.63402730
0.12950171,1.83917388,2.58475289,717.07035687
0.13199213,1.51644802,2.71615914,482.03320173
0.13448255,1.22735832,1.92352177,301.82683647
0.13697297,1.31207771,1.82286597,353.78207764
0.13946338,1.46255253,2.06021128,444.09780802
0.14195380,1.47905490,2.03722471,455.50533267
0.14444422,1.46921787,2.05086479,446.94045384
0.14693464,1.48426337,2.03007584,453.18108944
0.14942505,1.49208374,2.01943573,457.20260572
0.15191547,1.51846361,1.98435260,468.22236813
0.15440589,1.51216566,1.99261714,460.74446021
0.15689631,1.51366368,1.99064512,460.43361246
0.15938672,1.49273195,2.01855879,449.05158623
0.16187714,1.47425553,2.04385681,443.73658156
0.16436756,1.42539286,2.11392051,424.02862764
0.16685798,1.41711915,2.12626243,416.78951305
0.16934839,1.31636066,2.28901341,352.93209037
0.17183881,1.23712514,2.43562039,307.31773758
0.17432923,1.23629825,2.43724943,306.60397279
0.17681965,1.22643979,2.45684070,302.60560192
0.17931007,1.17252687,2.56980654,281.23559874
0.18180048,1.15275391,2.61388591,274.39284599
0.18429090,1.12905658,2.66874774,259.53787029
0.18678132,0.99436081,3.03025538,199.28625630
0.18927174,0.73132660,2.66121450,110.82986111
0.19176215,0.58776040,2.62663376,79.02661538
0.19425257,0.58601212,2.63446994,79.52776835
0.19674299,0.51568158,2.99376856,59.62598879
0.19923341,0.38527364,3.33831797,32.23710719
0.20172382,0.25936283,3.41260309,14.10527341
0.20421424,0.17237553,1.87735998,6.03439548
0.20670466,0.15821364,2.04540473,5.00847366
0.20919508,0.15812561,2.04654350,5.00791422
0.21168549,0.14884345,2.17416979,4.48138060
0.21417591,0.13007010,1.96295078,3.59373343
0.21666633,0.12314728,2.07329964,3.51198658
0.21915675,0.11489791,1.72821403,3.63231796
0.22164716,0.11408359,1.74054984,3.61596908
0.22413758,0.12024123,1.65141506,3.70858353
0.22662800,0.12635414,1.57152097,3.75807730
0.22911842,0.12326466,1.60358190,3.23711791
0.23160883,0.12280119,1.60963396,3.13303023
0.23409925,0.11873663,1.66473458,2.85416553
0.23658967,0.11871912,1.66498008,2.85332221
