time,rms,total_fft_energy
0.02624990,0.01126139,0.02536380
0.02874990,0.01008490,0.02034102
0.03124990,0.00868826,0.01509716
0.03374990,0.00784236,0.01230051
0.03624990,0.00768155,0.01180123
0.03874990,0.00768498,0.01181178
0.04124990,0.00768346,0.01180712
0.04374990,0.00782706,0.01225258
0.04624990,0.00813219,0.01322651
0.04874990,0.00817383,0.01336230
0.05124990,0.00798253,0.01274417
0.05374990,0.00755800,0.01142468
0.05624990,0.00738633,0.01091157
0.05874990,0.00757645,0.01148051
0.06124990,0.00782982,0.01226121
0.06374990,0.00789510,0.01246652
0.06624990,0.00787379,0.01239931
0.06874990,0.00786204,0.01236233
0.07124990,0.00774127,0.01198545
0.07374990,0.00773974,0.01198070
0.07624990,0.00772387,0.01193163
0.07874990,0.00722741,0.01044711
0.08124990,0.00663665,0.00880903
0.08374990,0.00566805,0.00642535
0.08624990,0.00507110,0.00514322
0.08874990,0.00505549,0.00511160
0.09124990,0.00508839,0.00517834
0.09374990,0.00486154,0.00472691
0.09624990,0.00435219,0.00378831
0.09874990,0.00413852,0.00342548
0.10124990,0.00408289,0.00333400
0.10374990,0.00407671,0.00332391
0.10624990,0.00376121,0.00282933
0.10874990,0.00330802,0.00218860
0.11124990,0.00269377,0.00145128
0.11374990,0.00217201,0.00094353
0.11624990,0.00198303,0.00078648
0.11874990,0.00233483,0.00109028
0.12124990,0.00283128,0.00160323
0.12374990,0.00338444,0.00229089
0.12624990,0.00355690,0.00253031
0.12874990,0.00361656,0.00261590
0.13124990,0.00357625,0.00255791
0.13374990,0.00357942,0.00256245
0.13624990,0.00357761,0.00255986
0.13874990,0.00351190,0.00246669
0.14124990,0.00347228,0.00241135
0.14374990,0.00354536,0.00251391
0.14624990,0.00368433,0.00271485
0.14874990,0.00378906,0.00287140
0.15124990,0.00386429,0.00298655
0.15374990,0.00391685,0.00306834
0.15624990,0.00436596,0.00381233
0.15874990,0.00467846,0.00437761
0.16124990,0.00475315,0.00451848
0.16374990,0.00474178,0.00449690
0.16624990,0.00475916,0.00452992
0.16874990,0.00467794,0.00437663
0.17124990,0.00441012,0.00388982
0.17374990,0.00405000,0.00328050
0.17624990,0.00400968,0.00321551
0.17874990,0.00427709,0.00365871
0.18124990,0.00439931,0.00387079
0.18374990,0.00448446,0.00402208
0.18624990,0.00448837,0.00402909
0.18874990,0.00464477,0.00431478
0.19124990,0.00463942,0.00430485
0.19374990,0.00459013,0.00421386
0.19624990,0.00449772,0.00404590
0.19874990,0.00449974,0.00404953
0.20124990,0.00450793,0.00406429
0.20374990,0.00458500,0.00420445
0.20624990,0.00437101,0.00382115
0.20874990,0.00433794,0.00376355
0.21124990,0.00425216,0.00361617
0.21374990,0.00423451,0.00358621
0.21624990,0.00431752,0.00372819
0.21874990,0.00429987,0.00369777
0.22124990,0.00429476,0.00368900
0.22374990,0.00439712,0.00386693
0.22624990,0.00511769,0.00523815
0.22874990,0.00557418,0.00621430
0.23124990,0.00601062,0.00722551
0.23374990,0.00631656,0.00797979
0.23624990,0.00630675,0.00795502
0.23874990,0.00618925,0.00766136
0.24124990,0.00624315,0.00779538
0.24374990,0.00624310,0.00779527
0.24624990,0.00631239,0.00796926
0.24874990,0.00625732,0.00783081
0.25124990,0.00646958,0.00837110
0.25374990,0.00671396,0.00901546
0.25624990,0.00696164,0.00969289
0.25874990,0.00694530,0.00964744
0.26124990,0.00694443,0.00964501
0.26374990,0.00695301,0.00966886
0.26624990,0.00690370,0.00953220
0.26874990,0.00691912,0.00957483
0.27124990,0.00704011,0.00991262
0.27374990,0.00698597,0.00976075
0.27624990,0.00642844,0.00826497
0.27874990,0.00588524,0.00692720
0.28124990,0.00566752,0.00642415
0.28374990,0.00606613,0.00735960
0.28624990,0.00682676,0.00932094
0.28874990,0.00706637,0.00998671
0.29124990,0.00705091,0.00994306
0.29374990,0.00705285,0.00994854
0.29624990,0.00699452,0.00978467
0.29874990,0.00699735,0.00979259
0.30124990,0.00676164,0.00914396
0.30374990,0.00650174,0.00845453
0.30624990,0.00633979,0.00803860
0.30874990,0.00647103,0.00837485
0.31124990,0.00681624,0.00929222
0.31374990,0.00694403,0.00964391
0.31624990,0.00692051,0.00957870
0.31874990,0.00689031,0.00949528
0.32124990,0.00693232,0.00961142
0.32374990,0.00711839,0.01013430
0.32624990,0.00749533,0.01123599
0.32874990,0.00742462,0.01102501
0.33124990,0.00716648,0.01027169
0.33374990,0.00649029,0.00842477
0.33624990,0.00572771,0.00656134
0.33874990,0.00542923,0.00589530
0.34124990,0.00540567,0.00584426
0.34374990,0.00539755,0.00582671
0.34624990,0.00537107,0.00576969
0.34874990,0.00535629,0.00573798
0.35124990,0.00549972,0.00604939
0.35374990,0.00579755,0.00672231
0.35624990,0.00636113,0.00809279
0.35874990,0.00680721,0.00926763
0.36124990,0.00698810,0.00976670
0.36374990,0.00700262,0.00980733
0.36624990,0.00702331,0.00986539
0.36874990,0.00711525,0.01012535
0.37124990,0.00725044,0.01051379
0.37374990,0.00715024,0.01022520
0.37624990,0.00672472,0.00904436
0.37874990,0.00673088,0.00906094
0.38124990,0.00681468,0.00928798
0.38374990,0.00686773,0.00943313
0.38624990,0.00683390,0.00934044
0.38874990,0.00701237,0.00983466
0.39124990,0.00701091,0.00983058
0.39374990,0.00706300,0.00997720
0.39624990,0.00705413,0.00995216
0.39874990,0.00704539,0.00992749
0.40124990,0.00694716,0.00965261
0.40374990,0.00671215,0.00901059
0.40624990,0.00599377,0.00718507
0.40874990,0.00510629,0.00521483
0.41124990,0.00456457,0.00416707
0.41374990,0.00484231,0.00468959
0.41624990,0.00533313,0.00568846
0.41874990,0.00519583,0.00539933
0.42124990,0.00476389,0.00453892
0.42374990,0.00489749,0.00479708
0.42624990,0.00510843,0.00521921
0.42874990,0.00519564,0.00539894
0.43124990,0.00518192,0.00537046
0.43374990,0.00510161,0.00520529
0.43624990,0.00509928,0.00520053
0.43874990,0.00485056,0.00470558
0.44124990,0.00482864,0.00466316
0.44374990,0.00475199,0.00451629
0.44624990,0.00476932,0.00454927
0.44874990,0.00476220,0.00453572
0.45124990,0.00481247,0.00463198
0.45374990,0.00471831,0.00445250
0.45624990,0.00462915,0.00428580
0.45874990,0.00462856,0.00428472
0.46124990,0.00440547,0.00388163
0.46374990,0.00386622,0.00298953
0.46624990,0.00313501,0.00196566
0.46874990,0.00307203,0.00188747
0.47124990,0.00307122,0.00188648
0.47374990,0.00267865,0.00143504
0.47624990,0.00235570,0.00110986
0.47874990,0.00230280,0.00106058
0.48124990,0.00211325,0.00089316
0.48374990,0.00225602,0.00101792
0.48624990,0.00307461,0.00189065
0.48874990,0.00319296,0.00203900
0.49124990,0.00320815,0.00205844
0.49374990,0.00357705,0.00255906
0.49624990,0.00447982,0.00401376
0.49874990,0.00506760,0.00513612
0.50124990,0.00539005,0.00581053
0.50374990,0.00544533,0.00593033
0.50624990,0.00545171,0.00594424
0.50874990,0.00549152,0.00603137
0.51124990,0.00569215,0.00648012
0.51374990,0.00572736,0.00656052
0.51624990,0.00593268,0.00703933
0.51874990,0.00609851,0.00743836
0.52124990,0.00646918,0.00837007
0.52374990,0.00683189,0.00933494
0.52624990,0.00698723,0.00976427
0.52874990,0.00696881,0.00971286
0.53124990,0.00697384,0.00972688
0.53374990,0.00706570,0.00998483
0.53624990,0.00695458,0.00967323
0.53874990,0.00705870,0.00996506
0.54124990,0.00710273,0.01008976
0.54374990,0.00693081,0.00960721
0.54624990,0.00637367,0.00812473
0.54874990,0.00592470,0.00702041
0.55124990,0.00555941,0.00618141
0.55374990,0.00549883,0.00604744
0.55624990,0.00549651,0.00604231
0.55874990,0.00546058,0.00596359
0.56124990,0.00525530,0.00552363
0.56374990,0.00520154,0.00541120
0.56624990,0.00499524,0.00499048
0.56874990,0.00503289,0.00506600
0.57124990,0.00489726,0.00479663
0.57374990,0.00457643,0.00418874
0.57624990,0.00449965,0.00404936
0.57874990,0.00440280,0.00387693
0.58124990,0.00442384,0.00391407
0.58374990,0.00432583,0.00374255
0.58624990,0.00422260,0.00356607
0.58874990,0.00402200,0.00323529
0.59124990,0.00394156,0.00310718
0.59374990,0.00410510,0.00337038
0.59624990,0.00454716,0.00413534
0.59874990,0.00527017,0.00555493
0.60124990,0.00574817,0.00660830
0.60374990,0.00608235,0.00739898
0.60624990,0.00617195,0.00761859
0.60874990,0.00659471,0.00869804
0.61124990,0.00743364,0.01105182
0.61374990,0.00818803,0.01340877
0.61624990,0.00842047,0.01418086
0.61874990,0.00838757,0.01407027
0.62124990,0.00821732,0.01350488
0.62374990,0.00806995,0.01302482
0.62624990,0.00795437,0.01265440
0.62874990,0.00804399,0.01294115
0.63124990,0.00816455,0.01333197
0.63374990,0.00841145,0.01415051
0.63624990,0.00864759,0.01495616
0.63874990,0.00898532,0.01614719
0.64124990,0.00906933,0.01645055
0.64374990,0.00899243,0.01617276
0.64624990,0.00918265,0.01686422
0.64874990,0.00997143,0.01988588
0.65124990,0.01093361,0.02390874
0.65374990,0.01219672,0.02975198
0.65624990,0.01253897,0.03144514
0.65874990,0.01243552,0.03092841
0.66124990,0.01195101,0.02856534
0.66374990,0.01145267,0.02623271
0.66624990,0.01126678,0.02538804
0.66874990,0.01121274,0.02514512
0.67124990,0.01124686,0.02529837
0.67374990,0.01128581,0.02547391
0.67624990,0.01135803,0.02580098
0.67874990,0.01140621,0.02602031
0.68124990,0.01145341,0.02623612
0.68374990,0.01150139,0.02645638
0.68624990,0.01136487,0.02583207
0.68874990,0.01108756,0.02458680
0.69124990,0.01105621,0.02444795
0.69374990,0.01126242,0.02536841
0.69624990,0.01117127,0.02495948
0.69874990,0.01023384,0.02094628
0.70124990,0.00891034,0.01587885
0.70374990,0.00681392,0.00928590
0.70624990,0.00621741,0.00773123
0.70874990,0.00601975,0.00724749
0.71124990,0.00602088,0.00725020
0.71374990,0.00605910,0.00734253
0.71624990,0.00605132,0.00732371
0.71874990,0.00600294,0.00720707
0.72124990,0.00595175,0.00708468
0.72374990,0.00587599,0.00690546
0.72624990,0.00577741,0.00667570
0.72874990,0.00555064,0.00616193
0.73124990,0.00546198,0.00596665
0.73374990,0.00492887,0.00485875
0.73624990,0.00478079,0.00457119
0.73874990,0.00477934,0.00456843
0.74124990,0.00470494,0.00442730
0.74374990,0.00418557,0.00350381
0.74624990,0.00349005,0.00243609
0.74874990,0.00318820,0.00203292
0.75124990,0.00316682,0.00200575
0.75374990,0.00312253,0.00195004
0.75624990,0.00286347,0.00163989
0.75874990,0.00278492,0.00155115
