time,rms,total_fft_energy
0.02624990,0.01219469,0.02974208
0.02874990,0.01193210,0.02847499
0.03124990,0.01151714,0.02652892
0.03374990,0.01091478,0.02382647
0.03624990,0.00944753,0.01785115
0.03874990,0.00755395,0.01141243
0.04124990,0.00574582,0.00660290
0.04374990,0.00470901,0.00443495
0.04624990,0.00412216,0.00339843
0.04874990,0.00388874,0.00302447
0.05124990,0.00369823,0.00273539
0.05374990,0.00353959,0.00250574
0.05624990,0.00343211,0.00235587
0.05874990,0.00345597,0.00238874
0.06124990,0.00349027,0.00243639
0.06374990,0.00341025,0.00232596
0.06624990,0.00355803,0.00253192
0.06874990,0.00356788,0.00254595
0.07124990,0.00360562,0.00260010
0.07374990,0.00356759,0.00254554
0.07624990,0.00357199,0.00255182
0.07874990,0.00348668,0.00243139
0.08124990,0.00350346,0.00245485
0.08374990,0.00388422,0.00301744
0.08624990,0.00429470,0.00368888
0.08874990,0.00447554,0.00400608
0.09124990,0.00452872,0.00410186
0.09374990,0.00451278,0.00407303
0.09624990,0.00450488,0.00405878
0.09874990,0.00428184,0.00366684
0.10124990,0.00420784,0.00354118
0.10374990,0.00408601,0.00333909
0.10624990,0.00398166,0.00317072
0.10874990,0.00433925,0.00376582
0.11124990,0.00516440,0.00533422
0.11374990,0.00591990,0.00700904
0.11624990,0.00635590,0.00807948
0.11874990,0.00646269,0.00835328
0.12124990,0.00645098,0.00832302
0.12374990,0.00667585,0.00891340
0.12624990,0.00708967,0.01005268
0.12874990,0.00751297,0.01128896
0.13124990,0.00790442,0.01249596
0.13374990,0.00791160,0.01251867
0.13624990,0.00780601,0.01218675
0.13874990,0.00780869,0.01219513
0.14124990,0.00793960,0.01260744
0.14374990,0.00814597,0.01327136
0.14624990,0.00837013,0.01401183
0.14874990,0.00844478,0.01426285
0.15124990,0.00838154,0.01405003
0.15374990,0.00836991,0.01401108
0.15624990,0.00843416,0.01422700
0.15874990,0.00846110,0.01431804
0.16124990,0.00822818,0.01354057
0.16374990,0.00772044,0.01192105
0.16624990,0.00728008,0.01059992
0.16874990,0.00733049,0.01074721
0.17124990,0.00743919,0.01106832
0.17374990,0.00727329,0.01058016
0.17624990,0.00689378,0.00950483
0.17874990,0.00644589,0.00830990
0.18124990,0.00589522,0.00695072
0.18374990,0.00569658,0.00649020
0.18624990,0.00562403,0.00632594
0.18874990,0.00579947,0.00672676
0.19124990,0.00562268,0.00632290
0.19374990,0.00542367,0.00588325
0.19624990,0.00501790,0.00503587
0.19874990,0.00503651,0.00507329
0.20124990,0.00567102,0.00643209
0.20374990,0.00629138,0.00791630
0.20624990,0.00680789,0.00926946
0.20874990,0.00683096,0.00933239
0.21124990,0.00652792,0.00852274
0.21374990,0.00646901,0.00836962
0.21624990,0.00679329,0.00922976
0.21874990,0.00715084,0.01022689
0.22124990,0.00795570,0.01265863
0.22374990,0.00825678,0.01363489
0.22624990,0.00829480,0.01376075
0.22874990,0.00827944,0.01370983
0.23124990,0.00832062,0.01384654
0.23374990,0.00828290,0.01372130
0.23624990,0.00820579,0.01346700
0.23874990,0.00807262,0.01303345
0.24124990,0.00827561,0.01369714
0.24374990,0.00861397,0.01484009
0.24624990,0.00890363,0.01585492
0.24874990,0.00900407,0.01621465
0.25124990,0.00861938,0.01485876
0.25374990,0.00820678,0.01347025
0.25624990,0.00786503,0.01237174
0.25874990,0.00808524,0.01307422
0.26124990,0.00853018,0.01455279
0.26374990,0.00899457,0.01618045
0.26624990,0.00897658,0.01611580
0.26874990,0.00896513,0.01607471
0.27124990,0.00820682,0.01347036
0.27374990,0.00790835,0.01250840
0.27624990,0.00783672,0.01228285
0.27874990,0.00785502,0.01234027
0.28124990,0.00783235,0.01226913
0.28374990,0.00788435,0.01243259
0.28624990,0.00792196,0.01255148
0.28874990,0.00783203,0.01226815
0.29124990,0.00758476,0.01150572
0.29374990,0.00719807,0.01036245
0.29624990,0.00685056,0.00938605
0.29874990,0.00670622,0.00899469
0.30124990,0.00670462,0.00899039
0.30374990,0.00675356,0.00912212
0.30624990,0.00662876,0.00878809
0.30874990,0.00604884,0.00731769
0.31124990,0.00535618,0.00573773
0.31374990,0.00453361,0.00411073
0.31624990,0.00407638,0.00332338
0.31874990,0.00327619,0.00214668
0.32124990,0.00345099,0.00238186
0.32374990,0.00345581,0.00238852
0.32624990,0.00379453,0.00287969
0.32874990,0.00373390,0.00278840
0.33124990,0.00368842,0.00272089
0.33374990,0.00360348,0.00259701
0.33624990,0.00363096,0.00263677
0.33874990,0.00383855,0.00294690
0.34124990,0.00399171,0.00318674
0.34374990,0.00384530,0.00295727
0.34624990,0.00384454,0.00295610
0.34874990,0.00384646,0.00295905
0.35124990,0.00390784,0.00305424
0.35374990,0.00376066,0.00282851
0.35624990,0.00370345,0.00274311
0.35874990,0.00444417,0.00395013
0.36124990,0.00540832,0.00584999
0.36374990,0.00602817,0.00726776
0.36624990,0.00647120,0.00837530
0.36874990,0.00669359,0.00896084
0.37124990,0.00667097,0.00890038
0.37374990,0.00665677,0.00886252
0.37624990,0.00654756,0.00857410
0.37874990,0.00661254,0.00874513
0.38124990,0.00666356,0.00888062
0.38374990,0.00667837,0.00892013
0.38624990,0.00661548,0.00875290
0.38874990,0.00650788,0.00847049
0.39124990,0.00642627,0.00825940
0.39374990,0.00655849,0.00860277
0.39624990,0.00658141,0.00866299
0.39874990,0.00653251,0.00853473
0.40124990,0.00655998,0.00860666
0.40374990,0.00667073,0.00889973
0.40624990,0.00681373,0.00928539
0.40874990,0.00659579,0.00870088
0.41124990,0.00602488,0.00725984
0.41374990,0.00567190,0.00643409
0.41624990,0.00550944,0.00607078
0.41874990,0.00537190,0.00577147
0.42124990,0.00522948,0.00546950
0.42374990,0.00535562,0.00573654
0.42624990,0.00529471,0.00560680
0.42874990,0.00574238,0.00659498
0.43124990,0.00644178,0.00829931
0.43374990,0.00662757,0.00878494
0.43624990,0.00671253,0.00901161
0.43874990,0.00676018,0.00914000
0.44124990,0.00695170,0.00966522
0.44374990,0.00723151,0.01045895
0.44624990,0.00748709,0.01121129
0.44874990,0.00746368,0.01114131
0.45124990,0.00750395,0.01126185
0.45374990,0.00742588,0.01102875
0.45624990,0.00733025,0.01074651
0.45874990,0.00732989,0.01074545
0.46124990,0.00733265,0.01075356
0.46374990,0.00717593,0.01029879
0.46624990,0.00694085,0.00963507
0.46874990,0.00703383,0.00989495
0.47124990,0.00722732,0.01044683
0.47374990,0.00737598,0.01088101
0.47624990,0.00738742,0.01091478
0.47874990,0.00698821,0.00976702
