time,rms,total_fft_energy
0.02624990,0.01101690,0.02427441
0.02874990,0.01057872,0.02238185
0.03124990,0.01023995,0.02097131
0.03374990,0.01018000,0.02072649
0.03624990,0.01011575,0.02046566
0.03874990,0.01015938,0.02064258
0.04124990,0.00968633,0.01876501
0.04374990,0.00880570,0.01550806
0.04624990,0.00791474,0.01252861
0.04874990,0.00747433,0.01117312
0.05124990,0.00741656,0.01100107
0.05374990,0.00761570,0.01159977
0.05624990,0.00773466,0.01196500
0.05874990,0.00776727,0.01206610
0.06124990,0.00765075,0.01170678
0.06374990,0.00735895,0.01083084
0.06624990,0.00720056,0.01036961
0.06874990,0.00723991,0.01048327
0.07124990,0.00703543,0.00989944
0.07374990,0.00638522,0.00815420
0.07624990,0.00589221,0.00694362
0.07874990,0.00563910,0.00635990
0.08124990,0.00565419,0.00639397
0.08374990,0.00574917,0.00661059
0.08624990,0.00611247,0.00747246
0.08874990,0.00600090,0.00720215
0.09124990,0.00618958,0.00766217
0.09374990,0.00632776,0.00800812
0.09624990,0.00628319,0.00789570
0.09874990,0.00589978,0.00696148
0.10124990,0.00544994,0.00594037
0.10374990,0.00512209,0.00524717
0.10624990,0.00504065,0.00508163
0.10874990,0.00521422,0.00543761
0.11124990,0.00527470,0.00556450
0.11374990,0.00540045,0.00583298
0.11624990,0.00564074,0.00636359
0.11874990,0.00638030,0.00814165
0.12124990,0.00690823,0.00954474
0.12374990,0.00728607,0.01061735
0.12624990,0.00727553,0.01058667
0.12874990,0.00726076,0.01054373
0.13124990,0.00728403,0.01061143
0.13374990,0.00718218,0.01031675
0.13624990,0.00686644,0.00942959
0.13874990,0.00675819,0.00913462
0.14124990,0.00667018,0.00889825
0.14374990,0.00661100,0.00874106
0.14624990,0.00662824,0.00878672
0.14874990,0.00663905,0.00881539
0.15124990,0.00663132,0.00879487
0.15374990,0.00644752,0.00831410
0.15624990,0.00623835,0.00778340
0.15874990,0.00626297,0.00784497
0.16124990,0.00667504,0.00891124
0.16374990,0.00705456,0.00995337
0.16624990,0.00746908,0.01115744
0.16874990,0.00731517,0.01070234
0.17124990,0.00733527,0.01076124
0.17374990,0.00734106,0.01077824
0.17624990,0.00747529,0.01117599
0.17874990,0.00746669,0.01115030
0.18124990,0.00765364,0.01171563
0.18374990,0.00836545,0.01399616
0.18624990,0.00942816,0.01777804
0.18874990,0.01025458,0.02103128
0.19124990,0.01084852,0.02353809
0.19374990,0.01089049,0.02372054
0.19624990,0.01085499,0.02356617
0.19874990,0.01084705,0.02353171
0.20124990,0.01082534,0.02343759
0.20374990,0.01083300,0.02347078
0.20624990,0.01083299,0.02347073
0.20874990,0.01089402,0.02373591
0.21124990,0.01093270,0.02390477
0.21374990,0.01140198,0.02600104
0.21624990,0.01141143,0.02604413
0.21874990,0.01124047,0.02526961
0.22124990,0.01091088,0.02380945
0.22374990,0.01070786,0.02293165
0.22624990,0.01093100,0.02389733
0.22874990,0.01127806,0.02543891
0.23124990,0.01139042,0.02594833
0.23374990,0.01088900,0.02371405
0.23624990,0.00998707,0.01994831
0.23874990,0.00905287,0.01639088
0.24124990,0.00824876,0.01360840
0.24374990,0.00816625,0.01333753
0.24624990,0.00842423,0.01419352
0.24874990,0.00857184,0.01469527
0.25124990,0.00878636,0.01544004
0.25374990,0.00877164,0.01538832
0.25624990,0.00886634,0.01572241
0.25874990,0.00919747,0.01691867
0.26124990,0.00954477,0.01822054
0.26374990,0.00934566,0.01746829
0.26624990,0.00907840,0.01648346
0.26874990,0.00901990,0.01627173
0.27124990,0.00901485,0.01625349
0.27374990,0.00896619,0.01607850
0.27624990,0.00884940,0.01566237
0.27874990,0.00922516,0.01702072
0.28124990,0.01005045,0.02020232
0.28374990,0.01099324,0.02417025
0.28624990,0.01138681,0.02593191
0.28874990,0.01143075,0.02613239
0.29124990,0.01143734,0.02616255
0.29374990,0.01153551,0.02661361
0.29624990,0.01151528,0.02652033
0.29874990,0.01167221,0.02724808
0.30124990,0.01164227,0.02710850
0.30374990,0.01165255,0.02715639
0.30624990,0.01155976,0.02672562
0.30874990,0.01119613,0.02507068
0.31124990,0.01064721,0.02267260
0.31374990,0.01002018,0.02008080
0.31624990,0.00978145,0.01913537
0.31874990,0.00966302,0.01867478
0.32124990,0.00967275,0.01871241
0.32374990,0.00965971,0.01866199
0.32624990,0.00940643,0.01769619
0.32874990,0.00879903,0.01548457
0.33124990,0.00788889,0.01244693
0.33374990,0.00701550,0.00984344
0.33624990,0.00650888,0.00847309
0.33874990,0.00640780,0.00821197
0.34124990,0.00649279,0.00843127
0.34374990,0.00633454,0.00802528
0.34624990,0.00615043,0.00756557
0.34874990,0.00568289,0.00645905
0.35124990,0.00557921,0.00622553
0.35374990,0.00593992,0.00705652
0.35624990,0.00620102,0.00769054
0.35874990,0.00626710,0.00785531
0.36124990,0.00631299,0.00797077
0.36374990,0.00640829,0.00821324
0.36624990,0.00648159,0.00840219
0.36874990,0.00663244,0.00879784
0.37124990,0.00662303,0.00877291
0.37374990,0.00665582,0.00886000
0.37624990,0.00706887,0.00999378
0.37874990,0.00748194,0.01119588
0.38124990,0.00788977,0.01244971
0.38374990,0.00788180,0.01242455
0.38624990,0.00839626,0.01409945
0.38874990,0.00870522,0.01515618
0.39124990,0.00896662,0.01608004
0.39374990,0.00939485,0.01765264
0.39624990,0.00945576,0.01788229
0.39874990,0.00958544,0.01837613
0.40124990,0.00951747,0.01811644
0.40374990,0.00934837,0.01747842
0.40624990,0.00918048,0.01685625
0.40874990,0.00904319,0.01635585
0.41124990,0.00893312,0.01596011
0.41374990,0.00886395,0.01571391
0.41624990,0.00884710,0.01565424
0.41874990,0.00882890,0.01558990
0.42124990,0.00897088,0.01609533
0.42374990,0.00913335,0.01668363
0.42624990,0.00904280,0.01635445
0.42874990,0.00868789,0.01509589
0.43124990,0.00798344,0.01274706
0.43374990,0.00764129,0.01167786
0.43624990,0.00693397,0.00961599
0.43874990,0.00653987,0.00855399
0.44124990,0.00607802,0.00738846
0.44374990,0.00531662,0.00565329
0.44624990,0.00519115,0.00538960
0.44874990,0.00506070,0.00512213
0.45124990,0.00547058,0.00598544
0.45374990,0.00553840,0.00613478
0.45624990,0.00551802,0.00608971
0.45874990,0.00550555,0.00606222
0.46124990,0.00570926,0.00651914
0.46374990,0.00607100,0.00737140
0.46624990,0.00626055,0.00783889
0.46874990,0.00644523,0.00830820
0.47124990,0.00663719,0.00881045
0.47374990,0.00682966,0.00932884
0.47624990,0.00701792,0.00985023
0.47874990,0.00703731,0.00990473
0.48124990,0.00695898,0.00968548
0.48374990,0.00685047,0.00938578
0.48624990,0.00724032,0.01048446
0.48874990,0.00782899,0.01225861
0.49124990,0.00878241,0.01542616
0.49374990,0.00945398,0.01787556
0.49624990,0.00988510,0.01954304
0.49874990,0.00978093,0.01913332
0.50124990,0.00954948,0.01823850
0.50374990,0.00965449,0.01864184
0.50624990,0.00982299,0.01929822
0.50874990,0.01004028,0.02016144
0.51124990,0.01010279,0.02041328
0.51374990,0.00993776,0.01975180
0.51624990,0.00977373,0.01910515
0.51874990,0.00975939,0.01904914
0.52124990,0.00986526,0.01946468
0.52374990,0.00995530,0.01982161
0.52624990,0.00964696,0.01861277
0.52874990,0.00948569,0.01799566
0.53124990,0.00953614,0.01818760
0.53374990,0.00955664,0.01826586
0.53624990,0.00926671,0.01717439
0.53874990,0.00877750,0.01540888
0.54124990,0.00785494,0.01234000
0.54374990,0.00704721,0.00993264
0.54624990,0.00632141,0.00799204
0.54874990,0.00650612,0.00846592
0.55124990,0.00673043,0.00905974
0.55374990,0.00652918,0.00852604
0.55624990,0.00627971,0.00788694
0.55874990,0.00633026,0.00801443
0.56124990,0.00692380,0.00958780
0.56374990,0.00788263,0.01242718
0.56624990,0.00844096,0.01424996
0.56874990,0.00878786,0.01544531
0.57124990,0.00846376,0.01432703
0.57374990,0.00803059,0.01289809
0.57624990,0.00826204,0.01365227
0.57874990,0.00871305,0.01518345
0.58124990,0.00899604,0.01618576
0.58374990,0.00909156,0.01653128
0.58624990,0.00912730,0.01666152
0.58874990,0.00915102,0.01674822
0.59124990,0.00924743,0.01710298
0.59374990,0.00927170,0.01719287
0.59624990,0.00929921,0.01729507
0.59874990,0.00916460,0.01679797
0.60124990,0.00912484,0.01665254
0.60374990,0.00923358,0.01705180
0.60624990,0.00968039,0.01874200
0.60874990,0.00988205,0.01953097
0.61124990,0.00963749,0.01857623
0.61374990,0.00888652,0.01579403
0.61624990,0.00839518,0.01409582
0.61874990,0.00835336,0.01395572
0.62124990,0.00933275,0.01742006
0.62374990,0.01019403,0.02078363
0.62624990,0.01029512,0.02119788
0.62874990,0.00993664,0.01974736
0.63124990,0.00968151,0.01874634
0.63374990,0.00980087,0.01921139
0.63624990,0.00985842,0.01943769
0.63874990,0.00989981,0.01960124
0.64124990,0.00978331,0.01914264
0.64374990,0.00977664,0.01911655
0.64624990,0.00975121,0.01901722
0.64874990,0.00976344,0.01906497
0.65124990,0.00962663,0.01853439
0.65374990,0.00948961,0.01801053
0.65624990,0.00902869,0.01630346
0.65874990,0.00860794,0.01481933
0.66124990,0.00824119,0.01358345
0.66374990,0.00816290,0.01332660
0.66624990,0.00817657,0.01337126
0.66874990,0.00763043,0.01164470
0.67124990,0.00641951,0.00824203
0.67374990,0.00549450,0.00603790
0.67624990,0.00549245,0.00603339
0.67874990,0.00557104,0.00620730
0.68124990,0.00553372,0.00612441
0.68374990,0.00547281,0.00599034
0.68624990,0.00591825,0.00700514
0.68874990,0.00607084,0.00737101
0.69124990,0.00609757,0.00743607
0.69374990,0.00606853,0.00736541
0.69624990,0.00613819,0.00753548
0.69874990,0.00634476,0.00805120
0.70124990,0.00662440,0.00877653
0.70374990,0.00675931,0.00913765
0.70624990,0.00700568,0.00981592
0.70874990,0.00708630,0.01004313
0.71124990,0.00720783,0.01039057
0.71374990,0.00724027,0.01048429
0.71624990,0.00718759,0.01033230
0.71874990,0.00732914,0.01074326
0.72124990,0.00756544,0.01144718
0.72374990,0.00755328,0.01141040
0.72624990,0.00742622,0.01102976
0.72874990,0.00738278,0.01090108
0.73124990,0.00734261,0.01078277
0.73374990,0.00706998,0.00999691
0.73624990,0.00655661,0.00859784
0.73874990,0.00631997,0.00798841
0.74124990,0.00651306,0.00848398
0.74374990,0.00677569,0.00918199
0.74624990,0.00719310,0.01034813
0.74874990,0.00736479,0.01084803
0.75124990,0.00738938,0.01092057
0.75374990,0.00726614,0.01055937
0.75624990,0.00702573,0.00987217
0.75874990,0.00685894,0.00940901
0.76124990,0.00671363,0.00901456
0.76374990,0.00666965,0.00889686
0.76624990,0.00667296,0.00890567
0.76874990,0.00649835,0.00844572
0.77124990,0.00606785,0.00736377
0.77374990,0.00555630,0.00617449
0.77624990,0.00518868,0.00538448
0.77874990,0.00510526,0.00521273
0.78124990,0.00511370,0.00522998
0.78374990,0.00509125,0.00518416
0.78624990,0.00509370,0.00518916
0.78874990,0.00511646,0.00523562
0.79124990,0.00486077,0.00472542
0.79374990,0.00448361,0.00402056
0.79624990,0.00409828,0.00335918
0.79874990,0.00396258,0.00314041
0.80124990,0.00438165,0.00383978
0.80374990,0.00468644,0.00439254
0.80624990,0.00468501,0.00438986
0.80874990,0.00481974,0.00464599
0.81124990,0.00521804,0.00544560
0.81374990,0.00536793,0.00576294
0.81624990,0.00548567,0.00601851
0.81874990,0.00547515,0.00599546
0.82124990,0.00550192,0.00605423
0.82374990,0.00549553,0.00604017
0.82624990,0.00569868,0.00649499
0.82874990,0.00602508,0.00726032
0.83124990,0.00625561,0.00782653
0.83374990,0.00633107,0.00801649
0.83624990,0.00634218,0.00804465
0.83874990,0.00633999,0.00803909
0.84124990,0.00638706,0.00815890
0.84374990,0.00641593,0.00823283
0.84624990,0.00617742,0.00763210
0.84874990,0.00585076,0.00684627
0.85124990,0.00519726,0.00540231
0.85374990,0.00494687,0.00489431
0.85624990,0.00511278,0.00522811
0.85874990,0.00519657,0.00540088
0.86124990,0.00508719,0.00517589
0.86374990,0.00568302,0.00645935
0.86624990,0.00608769,0.00741199
0.86874990,0.00621608,0.00772794
0.87124990,0.00619581,0.00767760
0.87374990,0.00627610,0.00787789
0.87624990,0.00683418,0.00934121
0.87874990,0.00695780,0.00968219
0.88124990,0.00705500,0.00995461
0.88374990,0.00699499,0.00978597
0.88624990,0.00700558,0.00981562
0.88874990,0.00737871,0.01088907
0.89124990,0.00812473,0.01320225
0.89374990,0.00863816,0.01492356
0.89624990,0.00889105,0.01581017
0.89874990,0.00888631,0.01579330
0.90124990,0.00898456,0.01614448
0.90374990,0.00931164,0.01734134
0.90624990,0.00963059,0.01854965
0.90874990,0.00979590,0.01919193
0.91124990,0.00977093,0.01909423
0.91374990,0.00952272,0.01813642
0.91624990,0.00926812,0.01717959
0.91874990,0.00930773,0.01732679
0.92124990,0.00948167,0.01798041
0.92374990,0.00943882,0.01781827
0.92624990,0.00888420,0.01578580
0.92874990,0.00857023,0.01468976
0.93124990,0.00831841,0.01383920
0.93374990,0.00831071,0.01381357
0.93624990,0.00836394,0.01399109
0.93874990,0.00813525,0.01323647
0.94124990,0.00751049,0.01128151
0.94374990,0.00701851,0.00985190
0.94624990,0.00677423,0.00917804
0.94874990,0.00678081,0.00919588
0.95124990,0.00669241,0.00895766
0.95374990,0.00627503,0.00787520
0.95624990,0.00565563,0.00639723
0.95874990,0.00515008,0.00530466
0.96124990,0.00496298,0.00492623
0.96374990,0.00467562,0.00437229
0.96624990,0.00466498,0.00435240
0.96874990,0.00452657,0.00409796
0.97124990,0.00416970,0.00347728
0.97374990,0.00415340,0.00345015
0.97624990,0.00421898,0.00355995
0.97874990,0.00427056,0.00364754
0.98124990,0.00427655,0.00365778
0.98374990,0.00433220,0.00375358
0.98624990,0.00424270,0.00360010
0.98874990,0.00402381,0.00323821
0.99124990,0.00405730,0.00329234
0.99374990,0.00449711,0.00404480
0.99624990,0.00505099,0.00510250
0.99874990,0.00532054,0.00566164
1.00124990,0.00527607,0.00556739
1.00374990,0.00513094,0.00526531
1.00624990,0.00517006,0.00534589
1.00874990,0.00526557,0.00554525
1.01124990,0.00550850,0.00606871
1.01374990,0.00597081,0.00713012
1.01624990,0.00622013,0.00773799
1.01874990,0.00620117,0.00769091
1.02124990,0.00619580,0.00767760
1.02374990,0.00619123,0.00766627
1.02624990,0.00612916,0.00751332
1.02874990,0.00619765,0.00768218
1.03124990,0.00627087,0.00786476
1.03374990,0.00646648,0.00836307
1.03624990,0.00657555,0.00864758
1.03874990,0.00666118,0.00887426
1.04124990,0.00645163,0.00832472
1.04374990,0.00599796,0.00719510
1.04624990,0.00554925,0.00615885
1.04874990,0.00582864,0.00679460
1.05124990,0.00622934,0.00776093
1.05374990,0.00654191,0.00855932
1.05624990,0.00653980,0.00855380
1.05874990,0.00647444,0.00838367
1.06124990,0.00630465,0.00794973
1.06374990,0.00599276,0.00718263
1.06624990,0.00568389,0.00646132
1.06874990,0.00561501,0.00630566
1.07124990,0.00560480,0.00628276
1.07374990,0.00562359,0.00632496
1.07624990,0.00562439,0.00632676
1.07874990,0.00549986,0.00604969
1.08124990,0.00545093,0.00594254
1.08374990,0.00527190,0.00555860
1.08624990,0.00516728,0.00534016
1.08874990,0.00518452,0.00537585
1.09124990,0.00520186,0.00541187
1.09374990,0.00521512,0.00543949
1.09624990,0.00515136,0.00530729
1.09874990,0.00456469,0.00416728
1.10124990,0.00443069,0.00392620
1.10374990,0.00448675,0.00402618
1.10624990,0.00478328,0.00457595
1.10874990,0.00502039,0.00504086
1.11124990,0.00501843,0.00503694
1.11374990,0.00482810,0.00466210
1.11624990,0.00476948,0.00454958
1.11874990,0.00476626,0.00454344
1.12124990,0.00479288,0.00459434
