time,rms,total_fft_energy
0.02500000,0.05105803,0.52138454
0.02750000,0.04923160,0.48475009
0.03000000,0.04681254,0.43828276
0.03250000,0.04657379,0.43382362
0.03500000,0.04819812,0.46461168
0.03750000,0.04941984,0.48846409
0.04000000,0.05019927,0.50399339
0.04250000,0.04971903,0.49439642
0.04500000,0.05018356,0.50367796
0.04750000,0.04974410,0.49489513
0.05000000,0.04833611,0.46727598
0.05250000,0.04981069,0.49622086
0.05500000,0.05029927,0.50600332
0.05750000,0.05020105,0.50402904
0.06000000,0.04968505,0.49372092
0.06250000,0.05260581,0.55347419
0.06500000,0.05567518,0.61994523
0.06750000,0.05763251,0.66430122
0.07000000,0.05715453,0.65332800
0.07250000,0.05673533,0.64377940
0.07500000,0.05677180,0.64460748
0.07750000,0.05603195,0.62791586
0.08000000,0.17288332,5.97772837
0.08250000,0.23753485,11.28456116
0.08500000,0.26636755,14.19033527
0.08750000,0.29292101,17.16054535
0.09000000,0.30699435,18.84910774
0.09250000,0.31673723,20.06449509
0.09500000,0.32466915,21.08201027
0.09750000,0.32810000,21.52992058
0.10000000,0.33360168,22.25801659
0.10250000,0.34069338,23.21439743
0.10500000,0.34478536,23.77539062
0.10750000,0.34911478,24.37622452
0.11000000,0.34945923,24.42435074
0.11250000,0.34895521,24.35394669
0.11500000,0.34851140,24.29203987
0.11750000,0.34800789,24.22189713
0.12000000,0.34830028,24.26261711
0.12250000,0.34811285,24.23651123
0.12500000,0.34849223,24.28936768
0.12750000,0.35072526,24.60164070
0.13000000,0.31049129,19.28096771
0.13250000,0.26554787,14.10313606
0.13500000,0.23621617,11.15961647
0.13750000,0.37168017,27.62923050
0.14000000,0.51650614,53.35571671
0.14250000,0.63397139,80.38394165
0.14500000,0.94730502,179.47737122
0.14750000,1.23207974,303.60409546
0.15000000,1.53239870,469.64910889
0.15250000,1.80659556,652.75756836
0.15500000,1.87938774,706.41967773
0.15750000,1.87866139,705.87371826
0.16000000,1.91260242,731.60961914
0.16250000,2.07229209,858.87890625
0.16500000,2.13260484,909.60058594
0.16750000,2.23033643,994.88012695
0.17000000,2.23198652,996.35266113
0.17250000,2.23596168,999.90490723
0.17500000,2.38818502,1140.68566895
0.17750000,2.48384666,1233.89892578
0.18000000,2.65061831,1405.15551758
0.18250000,2.65138316,1405.96655273
0.18500000,2.85464358,1629.79809570
0.18750000,3.07934833,1896.47705078
0.19000000,3.34575438,2238.81445312
0.19250000,3.39803767,2309.33203125
0.19500000,3.34981561,2244.25268555
0.19750000,3.26624179,2133.66723633
0.20000000,3.14424157,1977.25109863
0.20250000,2.99711013,1796.53381348
0.20500000,2.95665336,1748.35961914
0.20750000,2.97251201,1767.16552734
0.21000000,2.95809364,1750.06347656
0.21250000,2.84896159,1623.31640625
0.21500000,2.80982018,1579.01782227
0.21750000,2.74458218,1506.54638672
0.22000000,2.75116038,1513.77661133
0.22250000,2.75412655,1517.04272461
0.22500000,2.62521458,1378.35021973
0.22750000,2.53466439,1284.90478516
0.23000000,2.35966802,1113.60668945
0.23250000,2.35908651,1113.05786133
0.23500000,2.10868883,889.31365967
0.23750000,1.73662162,603.17089844
0.24000000,1.08021271,233.37191772
0.24250000,0.82055980,134.66368103
0.24500000,0.70582360,99.63739014
0.24750000,0.65482742,85.75978088
0.25000000,0.61436391,75.48859406
0.25250000,0.60044384,72.10655975
0.25500000,0.57468551,66.05269623
0.25750000,0.48708725,47.45079803
0.26000000,0.44085911,38.87134933
0.26250000,0.43782327,38.33784485
0.26500000,0.39956510,31.93045425
0.26750000,0.31153500,19.41081238
0.27000000,0.23115648,10.68666363
0.27250000,0.13944620,3.88904905
0.27500000,0.17958085,6.44985676
0.27750000,0.21948591,9.63481331
0.28000000,0.25852704,13.36724472
0.28250000,0.28087690,15.77836514
0.28500000,0.30117938,18.14180565
0.28750000,0.31437087,19.76581001
0.29000000,0.32919526,21.67390442
0.29250000,0.33686140,22.69512177
0.29500000,0.34308383,23.54130554
0.29750000,0.35302886,24.92587662
0.30000000,0.35457912,25.14527130
0.30250000,0.36238846,26.26507759
0.30500000,0.36368486,26.45333290
0.30750000,0.36197034,26.20450211
0.31000000,0.36291528,26.34149933
0.31250000,0.36293817,26.34482384
0.31500000,0.36849993,27.15843964
0.31750000,0.36820170,27.11449814
0.32000000,0.36933774,27.28207016
0.32250000,0.36974221,27.34186172
0.32500000,0.33654666,22.65273094
0.32750000,0.31135553,19.38845444
0.33000000,0.27958897,15.63399696
0.33250000,0.25387901,12.89091110
0.33500000,0.22872001,10.46256828
0.33750000,0.21025664,8.84157085
0.34000000,0.18610600,6.92708778
0.34250000,0.17136297,5.87305355
0.34500000,0.16233747,5.27069044
0.34750000,0.20247746,8.19942379
0.35000000,0.19875781,7.90093327
0.35250000,0.19383064,7.51406288
0.35500000,0.31329247,19.63043404
0.35750000,0.54132932,58.60748291
0.36000000,0.70346713,98.97319794
0.36250000,0.88526827,156.73997498
